seconds 	point x 	point y 	point z 	position x	position y	position z	flag    	

0.03    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.04    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.06    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.08    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.09    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.11    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.13    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.14    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.16    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.18    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.19    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.21    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.23    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.25    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.26    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.28    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.29    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.31    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.33    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.34    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.36    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.38    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.39    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.41    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.43    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.44    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.46    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.48    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.49    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.51    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.53    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.54    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.56    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.58    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.59    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.61    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.63    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.64    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.66    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.68    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.69    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
0.71    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
